Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
27,Male,Instagram,165,6,85,30,28,Happiness
24,Female,Twitter,75,3,33,18,19,Anger
29,Non-binary,Facebook,85,2,27,9,20,Neutral
33,Female,Instagram,145,4,65,23,35,Sadness
31,Male,LinkedIn,60,1,15,7,17,Anxiety
22,Female,Whatsapp,70,2,42,10,21,Anxiety
25,Male,Telegram,90,3,22,11,22,Boredom
29,Non-binary,Snapchat,50,2,18,7,18,Sadness
28,Female,Twitter,95,4,48,22,25,Happiness
27,Male,Facebook,60,1,12,5,15,Boredom
30,Female,Instagram,175,6,72,30,33,Happiness
23,Male,Whatsapp,70,3,22,10,18,Anger
34,Non-binary,Telegram,80,2,21,8,20,Neutral
26,Female,Snapchat,120,4,55,18,30,Anxiety
25,Male,Twitter,90,6,42,14,26,Sadness
29,Non-binary,Facebook,60,1,12,4,12,Boredom
28,Male,Instagram,165,5,78,23,35,Happiness
31,Female,Whatsapp,65,2,27,10,20,Neutral
27,Male,Telegram,105,3,48,20,28,Anxiety
22,Non-binary,Snapchat,75,2,21,8,20,Sadness
24,Female,Instagram,140,4,65,22,30,Happiness
35,Male,Twitter,70,1,13,8,10,Boredom
21,Non-binary,Facebook,55,3,17,7,12,Neutral
29,Female,Whatsapp,90,2,24,12,22,Anger
25,Male,Telegram,80,4,30,13,25,Neutral
28,Non-binary,Snapchat,115,3,38,18,27,Anxiety
32,Female,Instagram,155,6,75,25,38,Happiness
26,Male,Twitter,75,2,23,12,18,Sadness
33,Non-binary,Facebook,65,1,13,7,14,Anxiety
27,Female,Whatsapp,90,4,37,18,20,Neutral
31,Male,Telegram,50,2,20,10,12,Sadness
24,Non-binary,Snapchat,85,3,33,20,18,Happiness
34,Female,Instagram,120,5,60,25,25,Anger
22,Male,Twitter,70,1,22,7,22,Neutral
29,Non-binary,Facebook,75,2,20,8,20,Boredom
28,Female,Whatsapp,100,4,37,14,26,Anxiety
31,Male,Telegram,85,3,45,20,28,Sadness
21,Non-binary,Snapchat,60,1,18,7,12,Neutral
25,Female,Instagram,170,6,83,30,33,Happiness
30,Male,Twitter,70,2,30,12,20,Anxiety
27,Non-binary,Facebook,50,1,10,4,10,Boredom
32,Female,Whatsapp,105,4,55,25,25,Anger
24,Male,Telegram,75,3,37,16,22,Neutral
29,Female,Snapchat,95,2,23,10,28,Sadness
26,Male,Instagram,150,5,70,25,30,Anxiety
33,Non-binary,Twitter,85,4,35,18,18,Boredom
22,Female,Facebook,70,1,14,6,10,Neutral
35,Male,Whatsapp,110,3,50,25,25,Happiness
28,Non-binary,Telegram,60,2,18,8,18,Anger
27,Female,Snapchat,120,4,40,18,22,Neutral
